vdT, LSR
1.000000014901161194e-01,5.900297164916992188e-01
1.500000059604644775e-01,5.946545004844665527e-01
2.000000029802322388e-01,5.897246003150939941e-01
2.500000000000000000e-01,5.887042284011840820e-01
3.000000119209289551e-01,5.837885737419128418e-01
3.105263113975524902e-01,5.844035744667053223e-01
3.499999940395355225e-01,5.785583257675170898e-01
4.000000059604644775e-01,5.741054415702819824e-01
4.500000178813934326e-01,5.670788288116455078e-01
5.000000000000000000e-01,5.610345602035522461e-01
5.500000119209289551e-01,5.583978891372680664e-01
5.710526108741760254e-01,5.545070767402648926e-01
6.000000238418579102e-01,5.472435355186462402e-01
6.499999761581420898e-01,5.411509871482849121e-01
6.999999880790710449e-01,5.335933566093444824e-01
7.500000000000000000e-01,5.223786234855651855e-01
8.000000119209289551e-01,5.119608044624328613e-01
8.315789103507995605e-01,5.056138038635253906e-01
8.500000238418579102e-01,5.020169615745544434e-01
8.999999761581420898e-01,4.965546429157257080e-01
9.142857789993286133e-01,4.913246333599090576e-01
9.499999880790710449e-01,4.871238470077514648e-01
1.000000000000000000e+00,4.806606471538543701e-01
1.092105150222778320e+00,4.693006873130798340e-01
1.352631449699401855e+00,4.493254423141479492e-01
1.613157749176025391e+00,4.289982020854949951e-01
1.728571534156799316e+00,4.224401414394378662e-01
1.873684048652648926e+00,4.139314591884613037e-01
2.134210348129272461e+00,4.080730676651000977e-01
2.394736766815185547e+00,4.015962481498718262e-01
2.542857170104980469e+00,4.010345339775085449e-01
2.655263423919677734e+00,3.985406458377838135e-01
2.915789604187011719e+00,3.987087607383728027e-01
3.176315784454345703e+00,3.973650634288787842e-01
3.357142925262451172e+00,3.964343667030334473e-01
3.436842203140258789e+00,3.969917893409729004e-01
3.697368621826171875e+00,3.968061506748199463e-01
3.957894802093505859e+00,3.989517092704772949e-01
4.171428680419921875e+00,3.974063694477081299e-01
4.218420982360839844e+00,3.928023576736450195e-01
4.478947639465332031e+00,3.974203765392303467e-01
4.739473819732666016e+00,3.947871625423431396e-01
4.985714435577392578e+00,3.961315751075744629e-01
5.000000000000000000e+00,3.935243785381317139e-01
5.800000190734863281e+00,3.958508074283599854e-01
6.614285945892333984e+00,3.967442214488983154e-01
7.428571701049804688e+00,4.028979539871215820e-01
8.242857933044433594e+00,4.067060649394989014e-01
9.057143211364746094e+00,4.092912077903747559e-01
9.871429443359375000e+00,4.184847176074981689e-01
1.068571472167968750e+01,4.319534301757812500e-01
1.150000095367431641e+01,4.426000118255615234e-01
1.231428623199462891e+01,4.615360200405120850e-01
1.312857246398925781e+01,4.812022745609283447e-01
1.394285774230957031e+01,5.033550262451171875e-01
1.475714397430419922e+01,5.226048231124877930e-01
1.557142925262451172e+01,5.482731461524963379e-01
1.638571548461914062e+01,5.646221637725830078e-01
1.720000076293945312e+01,5.774183869361877441e-01
1.801428604125976562e+01,5.897234082221984863e-01
1.882857322692871094e+01,5.947790741920471191e-01
1.964285850524902344e+01,5.977435111999511719e-01
2.045714187622070312e+01,5.984084606170654297e-01
2.127142715454101562e+01,5.985431671142578125e-01
2.208571243286132812e+01,5.939964652061462402e-01
2.289999961853027344e+01,5.907406806945800781e-01
2.371428489685058594e+01,5.854246616363525391e-01
2.452857017517089844e+01,5.816465616226196289e-01
2.534285736083984375e+01,5.727128982543945312e-01
2.615714263916015625e+01,5.655940175056457520e-01
2.697142791748046875e+01,5.554937124252319336e-01
2.778571319580078125e+01,5.479159355163574219e-01
2.859999847412109375e+01,5.387110114097595215e-01
2.941428565979003906e+01,5.289868116378784180e-01
3.022857093811035156e+01,5.184710621833801270e-01
3.104285621643066406e+01,5.094970464706420898e-01
3.185714340209960938e+01,5.002666115760803223e-01
3.267142868041992188e+01,4.938483834266662598e-01
3.348571395874023438e+01,4.872724711894989014e-01
3.429999923706054688e+01,4.802088439464569092e-01
3.511428451538085938e+01,4.719341695308685303e-01
3.592856979370117188e+01,4.643781483173370361e-01
3.674285888671875000e+01,4.609101116657257080e-01
3.755714416503906250e+01,4.549172222614288330e-01
3.837142944335937500e+01,4.502127766609191895e-01
3.918571472167968750e+01,4.470776319503784180e-01
4.000000000000000000e+01,4.407256841659545898e-01
4.125000000000000000e+01,4.375108480453491211e-01
4.250000000000000000e+01,4.324735105037689209e-01
4.375000000000000000e+01,4.294140040874481201e-01
4.500000000000000000e+01,4.257022440433502197e-01
4.625000000000000000e+01,4.203313291072845459e-01
4.750000000000000000e+01,4.213409423828125000e-01
4.875000000000000000e+01,4.171607792377471924e-01
5.000000000000000000e+01,4.141085445880889893e-01
5.125000000000000000e+01,4.093284606933593750e-01
5.250000000000000000e+01,4.125342965126037598e-01
5.375000000000000000e+01,4.100422859191894531e-01
5.500000000000000000e+01,4.075060188770294189e-01
5.625000000000000000e+01,4.064266383647918701e-01
5.750000000000000000e+01,4.057608246803283691e-01
5.875000000000000000e+01,4.103183746337890625e-01
6.000000000000000000e+01,4.039328694343566895e-01
6.125000000000000000e+01,4.025640487670898438e-01
6.250000000000000000e+01,3.999756574630737305e-01
