vdT,LSR
# average over 20 disorder realisation
4.827586114406585693e-01,5.561112761497497559e-01
9.655172228813171387e-01,4.514055848121643066e-01
1.448275804519653320e+00,4.170306324958801270e-01
1.931034445762634277e+00,3.976418673992156982e-01
2.413793087005615234e+00,3.935796618461608887e-01
2.896551609039306641e+00,3.907102048397064209e-01
3.379310369491577148e+00,3.914454877376556396e-01
3.862068891525268555e+00,3.874676227569580078e-01
4.344827651977539062e+00,3.886445462703704834e-01
4.827586174011230469e+00,3.901809155941009521e-01
5.310344696044921875e+00,3.895409405231475830e-01
5.793103218078613281e+00,3.897798061370849609e-01
6.275861740112304688e+00,3.905915915966033936e-01
6.758620738983154297e+00,3.918186426162719727e-01
7.241379261016845703e+00,3.925287127494812012e-01
7.724138259887695312e+00,3.933804929256439209e-01
8.206896781921386719e+00,3.946070969104766846e-01
8.689655303955078125e+00,3.992723524570465088e-01
9.172413825988769531e+00,3.958875238895416260e-01
9.655172348022460938e+00,3.991646468639373779e-01
1.013793087005615234e+01,4.011612832546234131e-01
1.062068939208984375e+01,4.096272885799407959e-01
1.110344791412353516e+01,4.107810556888580322e-01
1.158620738983154297e+01,4.179566502571105957e-01
1.206896591186523438e+01,4.237099587917327881e-01
1.255172443389892578e+01,4.347079694271087646e-01
1.303448295593261719e+01,4.434508979320526123e-01
1.351724147796630859e+01,4.584605395793914795e-01
1.400000000000000000e+01,4.694855809211730957e-01
1.489655208587646484e+01,4.975587427616119385e-01
1.579310321807861328e+01,5.247290134429931641e-01
1.668965530395507812e+01,5.540506243705749512e-01
1.758620643615722656e+01,5.750973820686340332e-01
1.848275947570800781e+01,5.850695967674255371e-01
1.937931060791015625e+01,5.943084955215454102e-01
2.027586174011230469e+01,5.964600443840026855e-01
2.117241287231445312e+01,5.977079272270202637e-01
2.206896591186523438e+01,5.939742326736450195e-01
2.296551704406738281e+01,5.882250666618347168e-01
2.386206817626953125e+01,5.797488093376159668e-01
2.475862121582031250e+01,5.699706077575683594e-01
2.565517234802246094e+01,5.549890995025634766e-01
2.655172348022460938e+01,5.415512323379516602e-01
2.744827651977539062e+01,5.292639136314392090e-01
2.834482765197753906e+01,5.183128714561462402e-01
2.924137878417968750e+01,5.032022595405578613e-01
3.013793182373046875e+01,4.886984527111053467e-01
3.103448295593261719e+01,4.796647727489471436e-01
3.193103408813476562e+01,4.693659245967864990e-01
3.282758712768554688e+01,4.616675972938537598e-01
3.372413635253906250e+01,4.523932635784149170e-01
3.462068939208984375e+01,4.423359930515289307e-01
3.551724243164062500e+01,4.392670691013336182e-01
3.641379165649414062e+01,4.339726567268371582e-01
3.731034469604492188e+01,4.294848144054412842e-01
3.820689773559570312e+01,4.218241870403289795e-01
3.910344696044921875e+01,4.204765260219573975e-01
4.000000000000000000e+01,4.148629307746887207e-01
4.125000000000000000e+01,4.141414761543273926e-01
4.250000000000000000e+01,4.105370044708251953e-01
4.375000000000000000e+01,4.089832305908203125e-01
4.500000000000000000e+01,4.038514792919158936e-01
4.625000000000000000e+01,4.060994684696197510e-01
4.750000000000000000e+01,4.048205912113189697e-01
4.875000000000000000e+01,4.011049270629882812e-01
5.000000000000000000e+01,3.964550793170928955e-01
5.125000000000000000e+01,3.985212445259094238e-01
5.250000000000000000e+01,3.977535665035247803e-01
5.375000000000000000e+01,3.982150554656982422e-01
5.500000000000000000e+01,3.972396850585937500e-01
5.625000000000000000e+01,3.972847163677215576e-01
5.750000000000000000e+01,3.948761224746704102e-01
5.875000000000000000e+01,3.951483368873596191e-01
6.000000000000000000e+01,3.944461345672607422e-01
6.125000000000000000e+01,3.946370482444763184e-01
6.250000000000000000e+01,3.947687447071075439e-01
6.375000000000000000e+01,3.924424350261688232e-01
6.500000000000000000e+01,3.918987214565277100e-01
6.625000000000000000e+01,3.942943513393402100e-01
6.750000000000000000e+01,3.932802379131317139e-01
6.875000000000000000e+01,3.922862112522125244e-01
7.000000000000000000e+01,3.884143531322479248e-01
7.157894897460937500e+01,3.891596198081970215e-01
7.315789794921875000e+01,3.928693532943725586e-01
7.473683929443359375e+01,3.907373845577239990e-01
7.631578826904296875e+01,3.912498652935028076e-01
7.789473724365234375e+01,3.899892270565032959e-01
7.947368621826171875e+01,3.882853686809539795e-01
8.105263519287109375e+01,3.894082903861999512e-01
8.263157653808593750e+01,3.922913968563079834e-01
8.421052551269531250e+01,3.916144371032714844e-01
8.578947448730468750e+01,3.895056843757629395e-01
8.736842346191406250e+01,3.880525529384613037e-01
8.894736480712890625e+01,3.919162452220916748e-01
9.052631378173828125e+01,3.902418911457061768e-01
9.210526275634765625e+01,3.865530490875244141e-01
9.368421173095703125e+01,3.881639838218688965e-01
9.526316070556640625e+01,3.896497488021850586e-01
9.684210205078125000e+01,3.875533342361450195e-01
9.842105102539062500e+01,3.908183276653289795e-01
1.000000000000000000e+02,3.881753385066986084e-01
5.000000074505805969e-02,5.768718123435974121e-01
1.000000014901161194e-01,5.973342657089233398e-01
1.500000059604644775e-01,5.959213972091674805e-01
2.000000029802322388e-01,5.900062918663024902e-01
2.500000000000000000e-01,5.827814936637878418e-01
3.000000119209289551e-01,5.792764425277709961e-01
3.499999940395355225e-01,5.736293196678161621e-01
4.000000059604644775e-01,5.668811202049255371e-01
4.500000178813934326e-01,5.585162639617919922e-01
5.000000000000000000e-01,5.514800548553466797e-01
5.500000119209289551e-01,5.428997278213500977e-01
6.000000238418579102e-01,5.349238514900207520e-01
6.499999761581420898e-01,5.217591524124145508e-01
6.999999880790710449e-01,5.070133209228515625e-01
7.500000000000000000e-01,4.960934817790985107e-01
8.000000119209289551e-01,4.821958243846893311e-01
8.500000238418579102e-01,4.727547168731689453e-01
8.999999761581420898e-01,4.625151157379150391e-01
9.499999880790710449e-01,4.551099836826324463e-01
1.000000000000000000e+00,4.478503167629241943e-01
