vdT,LSR
# phi1=2, phi2=2pi/3
4.000000059604644775e-01,5.797585006952644671e-01
8.689655065536499023e-01,5.748854628245503307e-01
1.337931036949157715e+00,5.139290582197070245e-01
1.806896567344665527e+00,4.485991685133847162e-01
2.275862216949462891e+00,4.191649994145825175e-01
2.744827747344970703e+00,4.235162260141828727e-01
3.213793277740478516e+00,4.164016956875627451e-01
3.682758808135986328e+00,4.024784189017862612e-01
4.151724338531494141e+00,3.896135621339528732e-01
4.620689868927001953e+00,4.268408008408231535e-01
5.089655399322509766e+00,4.063605678321522419e-01
5.558620929718017578e+00,3.927970606827426714e-01
6.027586460113525391e+00,3.734911282662923826e-01
6.496551990509033203e+00,4.189803293665004813e-01
6.965517520904541016e+00,4.007814731535525588e-01
7.434482574462890625e+00,3.967009765687769529e-01
7.903448104858398438e+00,3.933696228378373849e-01
8.372413635253906250e+00,4.051197120517004424e-01
8.841379165649414062e+00,3.909547237875343750e-01
9.310344696044921875e+00,4.225974955956041668e-01
9.779310226440429688e+00,4.260434298152867560e-01
1.024827575683593750e+01,4.343983664129471567e-01
1.071724128723144531e+01,4.197303483971910332e-01
1.118620681762695312e+01,4.478373455978336137e-01
1.165517234802246094e+01,4.278062874847793351e-01
1.212413787841796875e+01,4.443919124191872960e-01
1.259310340881347656e+01,4.473584102074703583e-01
1.306206893920898438e+01,4.690928493786044040e-01
1.353103446960449219e+01,4.576754600349304258e-01
1.400000000000000000e+01,4.667185757679338520e-01
1.400000000000000000e+01,4.667185757679337965e-01
1.489655208587646484e+01,4.945458368462768428e-01
1.579310321807861328e+01,4.933491086620062638e-01
1.668965530395507812e+01,4.993587110387578964e-01
1.758620643615722656e+01,4.987719605447959448e-01
1.848275947570800781e+01,5.217689338387501152e-01
1.937931060791015625e+01,5.234765802119319966e-01
2.027586174011230469e+01,5.255914151366889442e-01
2.117241287231445312e+01,5.520828206372399016e-01
2.206896591186523438e+01,5.294628186628972388e-01
2.296551704406738281e+01,5.401771399576990040e-01
2.386206817626953125e+01,5.453653662137277758e-01
2.475862121582031250e+01,5.533258785528171186e-01
2.565517234802246094e+01,5.553914084850116728e-01
2.655172348022460938e+01,5.685668041567177866e-01
2.744827651977539062e+01,5.827867967860482779e-01
2.834482765197753906e+01,5.620873211096156785e-01
2.924137878417968750e+01,5.728061791748118026e-01
3.013793182373046875e+01,5.759804840636179035e-01
3.103448295593261719e+01,5.792161427260194007e-01
3.193103408813476562e+01,5.775966022389307231e-01
3.282758712768554688e+01,5.882832794384211805e-01
3.372413635253906250e+01,5.796823251166627333e-01
3.462068939208984375e+01,5.870148041819465146e-01
3.551724243164062500e+01,5.847756457220378845e-01
3.641379165649414062e+01,5.645549745140604481e-01
3.731034469604492188e+01,5.903564374009551141e-01
3.820689773559570312e+01,5.715077185359228595e-01
3.910344696044921875e+01,5.686309654626121590e-01
4.000000000000000000e+01,5.939233512020530847e-01
4.000000000000000000e+01,5.939233512020530847e-01
4.125000000000000000e+01,5.746754030968636018e-01
4.250000000000000000e+01,5.751073197441413098e-01
4.375000000000000000e+01,5.626700942337737876e-01
4.500000000000000000e+01,5.610440610386960847e-01
4.625000000000000000e+01,5.628414109537449583e-01
4.750000000000000000e+01,5.689876813722043458e-01
4.875000000000000000e+01,5.515646317273970034e-01
5.000000000000000000e+01,5.529837715763736838e-01
5.125000000000000000e+01,5.447169603162211882e-01
5.250000000000000000e+01,5.382912135528484798e-01
5.375000000000000000e+01,5.310945641251381133e-01
5.500000000000000000e+01,5.317628101648539385e-01
5.625000000000000000e+01,5.243652045979374510e-01
5.750000000000000000e+01,5.188098335735776834e-01
5.875000000000000000e+01,5.040705594316119420e-01
6.000000000000000000e+01,5.079569153624271527e-01
6.125000000000000000e+01,5.025479876912837263e-01
6.250000000000000000e+01,5.091451031769085311e-01
6.375000000000000000e+01,4.948364255176985194e-01
6.500000000000000000e+01,4.879201822753458373e-01
6.625000000000000000e+01,4.769162009129913615e-01
6.750000000000000000e+01,5.000397030313992186e-01
6.875000000000000000e+01,4.767382624873335861e-01
7.000000000000000000e+01,4.922384552092331500e-01
7.000000000000000000e+01,4.922384552092331500e-01
7.157894897460937500e+01,4.819101638825816769e-01
7.315789794921875000e+01,4.779041577580676048e-01
7.473683929443359375e+01,4.777385049155185581e-01
7.631578826904296875e+01,4.614171899360203777e-01
7.789473724365234375e+01,4.649378638695227939e-01
7.947368621826171875e+01,4.664919570589790010e-01
8.105263519287109375e+01,4.530119571094339825e-01
8.263157653808593750e+01,4.620316226179677632e-01
8.421052551269531250e+01,4.453962598377808613e-01
8.578947448730468750e+01,4.438778726067704739e-01
8.736842346191406250e+01,4.371580010680091721e-01
8.894736480712890625e+01,4.434816293420359989e-01
9.052631378173828125e+01,4.296847317828101365e-01
9.210526275634765625e+01,4.387692202072975278e-01
9.368421173095703125e+01,4.519947723297362829e-01
9.526316070556640625e+01,4.293852021637760141e-01
9.684210205078125000e+01,4.229331962461915784e-01
9.842105102539062500e+01,4.279239338979582419e-01
1.000000000000000000e+02,4.340809918048496030e-01
1.000000000000000000e+02,4.340809918048494920e-01
1.015789489746093750e+02,4.218647878367492998e-01
1.031578979492187500e+02,4.024783528959010592e-01
1.047368392944335938e+02,4.224035322162373873e-01
1.063157882690429688e+02,4.152695012550491338e-01
1.078947372436523438e+02,4.228473361510539652e-01
1.094736862182617188e+02,4.284325463476666984e-01
1.110526351928710938e+02,4.019385778478812288e-01
1.126315765380859375e+02,4.020706189651615525e-01
1.142105255126953125e+02,4.059397769537879674e-01
1.157894744873046875e+02,4.075534685301233639e-01
1.173684234619140625e+02,4.005530786483065819e-01
1.189473648071289062e+02,4.191966602404403885e-01
1.205263137817382812e+02,4.157710138430101843e-01
1.221052627563476562e+02,4.132103546126346116e-01
1.236842117309570312e+02,4.220202067430511295e-01
1.252631607055664062e+02,4.002066709878391304e-01
1.268421020507812500e+02,4.088637892011677821e-01
1.284210510253906250e+02,4.074858828195799809e-01
1.300000000000000000e+02,4.092923064983921555e-01
1.300000000000000000e+02,4.092923064983921555e-01
1.315789489746093750e+02,4.270973304802797021e-01
1.331578979492187500e+02,4.042842775925423182e-01
1.347368469238281250e+02,3.804223765495995391e-01
1.363157958984375000e+02,4.146279547408570632e-01
1.378947296142578125e+02,4.102045074575002004e-01
1.394736785888671875e+02,4.196920759000073442e-01
1.410526275634765625e+02,4.008464661092684955e-01
1.426315765380859375e+02,3.996085010080797084e-01
1.442105255126953125e+02,4.093957486016921998e-01
