vdT,LSR
# phi1=0, phi2=0
4.000000059604644775e-01,5.084084543454924221e-01
8.689655065536499023e-01,4.914033629454717111e-01
1.337931036949157715e+00,3.716534339717278979e-01
1.806896567344665527e+00,2.811107277096698276e-01
2.275862216949462891e+00,2.474172128589052500e-01
2.744827747344970703e+00,2.289481764511517858e-01
3.213793277740478516e+00,2.007394912280105193e-01
3.682758808135986328e+00,1.706669162408512852e-01
4.151724338531494141e+00,1.556761158410422674e-01
4.620689868927001953e+00,1.489743142713349788e-01
5.089655399322509766e+00,1.373545534122838641e-01
5.558620929718017578e+00,1.344628976420117750e-01
6.027586460113525391e+00,1.290081658696713984e-01
6.496551990509033203e+00,1.332875497444439006e-01
6.965517520904541016e+00,1.408162029090085920e-01
7.434482574462890625e+00,1.317517963289207839e-01
7.903448104858398438e+00,1.384262717603578219e-01
8.372413635253906250e+00,1.495273171554052927e-01
8.841379165649414062e+00,1.667103928192006090e-01
9.310344696044921875e+00,1.786364455469575951e-01
9.779310226440429688e+00,1.816978654887275169e-01
1.024827575683593750e+01,1.786454643909364537e-01
1.071724128723144531e+01,1.914801297166632277e-01
1.118620681762695312e+01,2.082250982884852331e-01
1.165517234802246094e+01,2.186339087170826034e-01
1.212413787841796875e+01,2.344872006682033883e-01
1.259310340881347656e+01,2.423479153751543491e-01
1.306206893920898438e+01,2.450254857750684412e-01
1.353103446960449219e+01,2.612471163245195238e-01
1.400000000000000000e+01,2.756403145191861359e-01
1.400000000000000000e+01,2.756403145191861359e-01
1.489655208587646484e+01,3.045630143032830306e-01
1.579310321807861328e+01,3.373121437244731013e-01
1.668965530395507812e+01,3.505128577577941162e-01
1.758620643615722656e+01,3.788918713613452227e-01
1.848275947570800781e+01,3.881178509589794934e-01
1.937931060791015625e+01,3.924558836512042626e-01
2.027586174011230469e+01,4.295749239859489865e-01
2.117241287231445312e+01,4.294827075851705422e-01
2.206896591186523438e+01,4.404415078465346856e-01
2.296551704406738281e+01,4.479904906363058603e-01
2.386206817626953125e+01,4.543269841225829331e-01
2.475862121582031250e+01,4.514426598529163170e-01
2.565517234802246094e+01,4.758120965036765626e-01
2.655172348022460938e+01,4.796614893009653047e-01
2.744827651977539062e+01,4.870735843851596858e-01
2.834482765197753906e+01,4.747522308953464054e-01
2.924137878417968750e+01,4.845163289742456247e-01
3.013793182373046875e+01,4.809984024559779137e-01
3.103448295593261719e+01,4.854977936068966549e-01
3.193103408813476562e+01,5.067081239266728598e-01
3.282758712768554688e+01,4.902763397717896376e-01
3.372413635253906250e+01,4.743777051923547816e-01
3.462068939208984375e+01,4.894578760385555061e-01
3.551724243164062500e+01,4.924583099531238406e-01
3.641379165649414062e+01,5.023118995263038400e-01
3.731034469604492188e+01,4.984863215608182352e-01
3.820689773559570312e+01,5.011639017846744037e-01
3.910344696044921875e+01,4.914673515891667677e-01
4.000000000000000000e+01,5.055090499501143642e-01
4.000000000000000000e+01,5.055090499501142531e-01
4.125000000000000000e+01,4.870359126837684460e-01
4.250000000000000000e+01,5.065755827260833843e-01
4.375000000000000000e+01,4.958214304807213590e-01
4.500000000000000000e+01,4.991843420126400588e-01
4.625000000000000000e+01,4.817233868007574915e-01
4.750000000000000000e+01,4.826419995542698960e-01
4.875000000000000000e+01,4.937705926595754580e-01
5.000000000000000000e+01,4.866792664753665232e-01
5.125000000000000000e+01,4.744514147896941592e-01
5.250000000000000000e+01,4.574128434299405410e-01
5.375000000000000000e+01,4.494935117729462748e-01
5.500000000000000000e+01,4.631975636117708905e-01
5.625000000000000000e+01,4.595003384549709025e-01
5.750000000000000000e+01,4.782722571685679158e-01
5.875000000000000000e+01,4.556939370754106711e-01
6.000000000000000000e+01,4.506858550558827115e-01
6.125000000000000000e+01,4.429419812499684750e-01
6.250000000000000000e+01,4.310519928068739515e-01
6.375000000000000000e+01,4.374361285158040458e-01
6.500000000000000000e+01,4.037235446276825068e-01
6.625000000000000000e+01,4.147023818937451978e-01
6.750000000000000000e+01,4.238357200559827453e-01
6.875000000000000000e+01,4.045968158663072467e-01
7.000000000000000000e+01,3.704128938958466954e-01
7.000000000000000000e+01,3.704128938958466954e-01
7.157894897460937500e+01,3.820411953749788814e-01
7.315789794921875000e+01,3.879408404180638703e-01
7.473683929443359375e+01,3.778863054907020125e-01
7.631578826904296875e+01,3.580280036742232719e-01
7.789473724365234375e+01,3.656868037009679551e-01
7.947368621826171875e+01,3.619997615538740332e-01
8.105263519287109375e+01,3.558419173231631705e-01
8.263157653808593750e+01,3.487377665865792897e-01
8.421052551269531250e+01,3.471789971398148711e-01
8.578947448730468750e+01,3.608363402216792637e-01
8.736842346191406250e+01,3.452209368043104853e-01
8.894736480712890625e+01,3.394627899376175262e-01
9.052631378173828125e+01,3.324860425640847050e-01
9.210526275634765625e+01,3.336180524914554857e-01
9.368421173095703125e+01,3.369552695673546650e-01
9.526316070556640625e+01,3.176302384843768811e-01
9.684210205078125000e+01,3.201681062677375067e-01
9.842105102539062500e+01,3.211847326669209912e-01
1.000000000000000000e+02,3.100462868808412931e-01
1.000000000000000000e+02,3.100462868808412931e-01
1.015789489746093750e+02,3.103568953651824058e-01
1.031578979492187500e+02,2.945358629840986175e-01
1.047368392944335938e+02,2.893034002300804985e-01
1.063157882690429688e+02,2.858778449222778573e-01
1.078947372436523438e+02,2.941925312064090359e-01
1.094736862182617188e+02,2.798579745510353933e-01
1.110526351928710938e+02,2.903102564547307973e-01
1.126315765380859375e+02,2.933594076858696553e-01
1.142105255126953125e+02,2.832999630052849271e-01
1.157894744873046875e+02,2.968305371230904322e-01
1.173684234619140625e+02,2.788774877115111073e-01
1.189473648071289062e+02,2.646087694121166956e-01
1.205263137817382812e+02,2.791670120375550068e-01
1.221052627563476562e+02,2.725483336594565209e-01
1.236842117309570312e+02,2.602626437390461178e-01
1.252631607055664062e+02,2.668209853396248943e-01
1.268421020507812500e+02,2.660275612091076436e-01
1.284210510253906250e+02,2.638545524723118763e-01
1.300000000000000000e+02,2.535681848310274988e-01
1.300000000000000000e+02,2.535681848310274988e-01
1.315789489746093750e+02,2.489552512177389820e-01
1.331578979492187500e+02,2.486851257116138303e-01
1.347368469238281250e+02,2.584849446009742646e-01
1.363157958984375000e+02,2.673469380511551696e-01
1.378947296142578125e+02,2.787341228191514420e-01
1.394736785888671875e+02,2.678394774527242395e-01
1.410526275634765625e+02,2.499722395925808305e-01
1.426315765380859375e+02,2.431751549104631260e-01
1.442105255126953125e+02,2.467201511090580668e-01
1.457894744873046875e+02,2.510473516707626973e-01
1.473684234619140625e+02,2.626394618403563586e-01
1.489473724365234375e+02,2.556774731792800237e-01
1.505263214111328125e+02,2.661119282580238221e-01
1.521052703857421875e+02,2.549208382224928404e-01
1.536842041015625000e+02,2.419874048307853465e-01
1.552631530761718750e+02,2.548635564198042935e-01
1.568421020507812500e+02,2.603363136196920613e-01
1.584210510253906250e+02,2.505949056745097048e-01
1.600000000000000000e+02,2.449188982850033225e-01
1.600000000000000000e+02,2.449188982850032947e-01
1.631578979492187500e+02,2.505518472987994794e-01
1.663157958984375000e+02,2.408023667978000659e-01
1.694736785888671875e+02,2.396671735413933024e-01
1.726315765380859375e+02,2.482028986974597895e-01
1.757894744873046875e+02,2.559964933004391097e-01
1.789473724365234375e+02,2.441506401651252489e-01
1.821052703857421875e+02,2.403383595099508885e-01
1.852631530761718750e+02,2.250553410253227360e-01
1.884210510253906250e+02,2.455103282298871648e-01
1.915789489746093750e+02,2.507734188208574078e-01
1.947368469238281250e+02,2.449997157171336648e-01
1.978947296142578125e+02,2.467977910569035815e-01
2.010526275634765625e+02,2.397717664010411420e-01
2.042105255126953125e+02,2.535544393815435948e-01
2.073684234619140625e+02,2.448353522786127778e-01
2.105263214111328125e+02,2.497799352913492310e-01
2.136842041015625000e+02,2.488204201646432301e-01
2.168421020507812500e+02,2.506578033038382447e-01
2.200000000000000000e+02,2.391935602932749316e-01
2.200000000000000000e+02,2.391935602932749039e-01
2.215789489746093750e+02,2.281174049300848938e-01
2.231578979492187500e+02,2.504828643956916734e-01
2.247368469238281250e+02,2.385010893164207224e-01
2.263157958984375000e+02,2.375799407730628809e-01
2.278947296142578125e+02,2.367161199595624321e-01
2.294736785888671875e+02,2.490400675216732085e-01
2.310526275634765625e+02,2.453577263630198069e-01
2.326315765380859375e+02,2.329345100203502605e-01
2.342105255126953125e+02,2.321925610908412430e-01
2.357894744873046875e+02,2.365677535973057799e-01
2.373684234619140625e+02,2.354327411461712705e-01
2.389473724365234375e+02,2.393692192949442021e-01
2.405263214111328125e+02,2.444068117920397132e-01
2.421052703857421875e+02,2.336459280997483789e-01
2.436842041015625000e+02,2.284877545486345696e-01
2.452631530761718750e+02,2.308767007156441453e-01
2.468421020507812500e+02,2.330321542346949493e-01
2.484210510253906250e+02,2.385135537508346615e-01
2.500000000000000000e+02,2.209461183032021547e-01
2.500000000000000000e+02,2.209461183032021825e-01
2.526315765380859375e+02,2.392108708690255936e-01
2.552631530761718750e+02,2.307565174377574080e-01
2.578947448730468750e+02,2.154373709845464890e-01
2.605263061523437500e+02,2.137307264735543999e-01
2.631578979492187500e+02,2.177897672103391025e-01
2.657894592285156250e+02,2.029659310923357662e-01
2.684210510253906250e+02,2.262480021145054365e-01
2.710526428222656250e+02,2.147065540930223060e-01
2.736842041015625000e+02,2.203789096920707735e-01
2.763157958984375000e+02,2.183101800706765683e-01
2.789473571777343750e+02,2.152749174922081732e-01
2.815789489746093750e+02,2.249680676574391247e-01
2.842105407714843750e+02,2.196697055241967345e-01
2.868421020507812500e+02,2.147330131486005489e-01
2.894736938476562500e+02,1.955927153376695871e-01
2.921052551269531250e+02,2.197163053838691038e-01
2.947368469238281250e+02,2.112966354866884500e-01
2.973684082031250000e+02,2.160005636797100170e-01
3.000000000000000000e+02,1.977243773322975295e-01
3.000000000000000000e+02,1.977243773322974740e-01
3.068965454101562500e+02,2.102598362673681887e-01
3.137930908203125000e+02,2.012470053706671147e-01
3.206896667480468750e+02,1.925615215355561682e-01
3.275862121582031250e+02,2.033738627697353751e-01
3.344827575683593750e+02,1.963974583910501615e-01
3.413793029785156250e+02,1.907191268646672433e-01
3.482758483886718750e+02,1.814397942897688631e-01
3.551724243164062500e+02,1.886302456388294080e-01
3.620689697265625000e+02,1.979851911724596902e-01
3.689655151367187500e+02,1.867323513457417872e-01
3.758620605468750000e+02,1.780907295882276642e-01
3.827586059570312500e+02,1.593323911068725285e-01
3.896551818847656250e+02,1.634732916119637502e-01
3.965517272949218750e+02,1.800755936191948126e-01
4.034482727050781250e+02,1.566685817717572982e-01
4.103448181152343750e+02,1.673249584753822572e-01
4.172413940429687500e+02,1.680124371307662456e-01
4.241379394531250000e+02,1.486034493918671207e-01
4.310344848632812500e+02,1.521042444385241055e-01
4.379310302734375000e+02,1.570314361495784850e-01
4.448275756835937500e+02,1.437872941720141906e-01
4.517241516113281250e+02,1.529233916028279738e-01
4.586206970214843750e+02,1.416440027625409104e-01
4.655172424316406250e+02,1.345821218964056432e-01
4.724137878417968750e+02,1.407092597698717806e-01
4.793103332519531250e+02,1.433099651701307820e-01
4.862069091796875000e+02,1.402047545830670816e-01
4.931034545898437500e+02,1.344875109861709273e-01
5.000000000000000000e+02,1.329680659235638052e-01
5.000000000000000000e+02,1.329680659235638052e-01
5.102040710449218750e+02,1.251442719804439774e-01
5.204081420898437500e+02,1.124720782137148822e-01
5.306122436523437500e+02,1.227024969307493468e-01
5.408163452148437500e+02,1.080789738116492843e-01
5.510203857421875000e+02,1.196411371893015552e-01
5.612244873046875000e+02,1.170159001190809317e-01
5.714285888671875000e+02,1.079005225259922485e-01
5.816326293945312500e+02,8.602092613263877252e-02
5.918367309570312500e+02,9.704709914297660056e-02
6.020408325195312500e+02,9.744957177904191303e-02
6.122448730468750000e+02,8.965294688201404238e-02
6.224489746093750000e+02,1.055689562395996928e-01
6.326530761718750000e+02,8.081348616916102234e-02
6.428571166992187500e+02,9.792554293217736738e-02
6.530612182617187500e+02,9.046074189667377419e-02
6.632653198242187500e+02,8.549074634336840950e-02
6.734693603515625000e+02,8.932655613607902445e-02
6.836734619140625000e+02,8.776215270007030333e-02
6.938775634765625000e+02,8.456954757202202189e-02
7.040816040039062500e+02,9.310194487712482314e-02
7.142857055664062500e+02,8.532922698389715233e-02
7.244898071289062500e+02,8.198476903005880168e-02
7.346938476562500000e+02,6.951570891650145356e-02
7.448979492187500000e+02,6.912852076856799977e-02
7.551020507812500000e+02,7.757118374419100237e-02
7.653061523437500000e+02,7.748260271939270971e-02
7.755101928710937500e+02,6.698053120503712210e-02
7.857142944335937500e+02,7.673695148179819625e-02
7.959183959960937500e+02,6.060564730936995187e-02
8.061224365234375000e+02,8.209470246124331294e-02
8.163265380859375000e+02,7.098808583416602036e-02
